,Hotel Name,Type,Price,Review Rating,Review text,Date of Review,Review count
266,"Mandarin Oriental Hyde Park, London",Deluxe King Room,"? 25,228",5,"Still Love this place, what a great addition dinner is!! :)",4/16/2011,500
267,Corinthia Hotel London,Deluxe Twin or Double Room,"? 33,970",5,Perfeito!,3/28/2014,1223
268,Mondrian London at Sea Containers,Standard Double or Twin Room,"? 52,252",5,Great hotel,12-12-2016,500
269,"Bulgari Hotel, London",Executive King Room,"? 53,439",5,Bulgari Hotel - Knightsbridge,10-07-2013,2510
270,"Hotel Xenia, Autograph Collection",Family Room (6 Adults) with Shared Shower and Toilet,"? 30,534",5,Beautiful boutique hotel,12-09-2013,1342
271,Rhodes Hotel,Forsyth,"? 10,385",4,great location,8/17/2015,232
272,Mondrian London at Sea Containers,Twin Room,"? 10,614",5,Excellent,12-05-2016,372
273,Apex London Wall Hotel,Double Room,"? 11,022",5,A fantastic find,03-05-2010,817
274,The Savoy,Deluxe Room,"? 11,430",5,Friendliest staff,09-07-2014,3
275,London Guest House,Junior Suite,"? 11,512",5,Lovely hotel,3/17/2015,651
276,Mondrian London at Sea Containers,Small Double Room with Shower ,"? 12,165",5,Christmas Lunch,12-12-2015,394
277,Rhodes Hotel,Superior Double Room,"? 15,920",3,Très moyen,3/14/2018,278
278,Mondrian London at Sea Containers,Deluxe Room,"? 20,329",5,amazing experience,06-06-2016,192
279,Corinthia Hotel London,Budget Twin Room,"? 6,940",4,The Hotel is Not Special for a Five-Star Place. The nail Spa is the worst,06-06-2017,528
280,Ridgemount Hotel,One-Bedroom Apartment,"? 7,095",5,Loved our Visit!,11-03-2011,51
281,Corinthia Hotel London,One-Bedroom Apartment,"? 8,487",3,Pleasant surroundings and good service. Pricey though.,1/22/2015,64
282,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Deluxe Studio,"? 8,899",5,Excellent stay,12/18/2014,78
283,Apex London Wall Hotel,One-Bedroom Apartment,"? 9,552",5,Very good,02-10-2015,5
284,The Savoy,Double Room with Private Bathroom,"? 9,797",4,A thoroughly enjoyable stay.,1/16/2018,164
285,Newham Hotel,Deluxe Double Room with Balcony,"? 12,165",4,Great stay on a budget,5/26/2018,1050
286,Mondrian London at Sea Containers,Deluxe King Studio,"? 12,246",5,FANTASTIC HOTEL AND PHENOMENAL STAFF....,02-12-2017,500
287,The Rembrandt,Deluxe Double Studio,"? 12,246",4,"Great Hotel, Great Location",5/14/2014,234
288,Corinthia Hotel London,Standard Twin Room,"? 14,206",5,Just marvellous,9/28/2012,1315
289,The Savoy,Double Room with City View,"? 10,032",5,The Ultimate hotel in the World,3/23/2015,326
290,"Hotel Xenia, Autograph Collection",Double Room with Private Bathroom,"? 12,002",5,Great hotel,3/29/2015,281
291,Rhodes Hotel,Superior Double Room,"? 13,879",2,Good Location Hotel but.....,8/17/2013,1312
292,Rhodes Hotel,Twin Room,"? 10,894",4,Très bon accueil,9/21/2017,1240
293,Mondrian London at Sea Containers,Small Double Room,"? 12,165",5,Lovely stay!,5/26/2016,947
294,The Rembrandt,Double Room,"? 12,981",4,The Rembrandt is a good choice in London,10-02-2011,500
295,Corinthia Hotel London,Three-Bedroom Apartment,"? 17,250",5,Beautiful Spa & Location :),9/21/2017,1
296,Corinthia Hotel London,Studio - Souterrain,"? 9,797",5,The Corinthia Hotel’s Bassoon Bar.,10/28/2014,1021
297,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Double Room,"? 12,246",4,New and clean,4/26/2014,520
298,Mondrian London at Sea Containers,Double Room,"? 13,798",5,Another fantastic visit to the Mondrian!,2/17/2015,324
299,Mondrian London at Sea Containers,Two-Bedroom House,"? 24,493",4,Good Stay,10/23/2015,42
300,The Rembrandt,Standard Double Room,"? 10,042",3,Average Hotel,10-04-2015,500
301,The Dorchester,Small Double Room,"? 11,348",5,Le top du Brunch à l'anglaise,02-01-2012,1081
302,Newham Hotel,Studio S Charity,"? 12,165",2,Not great,8/19/2018,388
303,The Savoy,Deluxe Apartment,"? 12,246",5,One word. Amazing!!!,12-09-2013,57
304,The Savoy,Studio Apartment,"? 7,330",4,Room not good enough,12-05-2015,86
305,The Rembrandt,Comfort Room,"? 7,960",4,Un hotel cómodo y bien ubicado,6/19/2012,500
306,"Bulgari Hotel, London",Standard Double Room,"? 9,307",5,An Amazing Hotel,09-07-2016,1343
307,The Savoy,Budget Double Room,"? 13,496",5,ABSOLUTELY AMAZING!,10/23/2016,935
308,The Savoy,Deluxe Double or Twin Room with Spa Access,"? 15,920",5,London trip oct 2017,11-05-2017,725
309,Rhodes Hotel,Deluxe King Room,"? 8,491",5,Trevligt och prisvärt!,5/17/2017,500
310,The Rembrandt,Standard Room with Park View,"? 8,654",4,Muito bom,6/26/2015,1467
311,Ridgemount Hotel,Budget Twin Room,"? 9,879",4,Pleasant staff and a great location,9/13/2011,368
312,"Hotel Xenia, Autograph Collection",Premium Double Room,"? 10,668",3,"Bello all’apparenza, ma colazione tristissima",8/29/2018,500
313,Apex London Wall Hotel,Double Room,"? 19,594",5,Best hotel and quiet area,10-06-2013,500
314,"Mandarin Oriental Hyde Park, London",Junior Suite,"? 8,328",4,Nice location,11/30/2004,94
315,The Rembrandt,Twin Room,"? 8,981",5,"Great hotel, wonderful location",6/19/2017,1172
316,The Savoy,Deluxe King Room,"? 11,348",5,Beautiful Classy and freindly,12/17/2014,500
317,The Savoy,Twin Room,"? 8,550",5,The American Bar - Art Deco elegance,11/25/2016,923
318,The Savoy,Standard Twin Room,"? 8,573",5,Amazing stay can’t wait to go back!,7/15/2018,509
319,Rhodes Hotel,Comfort Triple Room with Shower,"? 13,389",4,February stay at Rhodes.,2/25/2016,3288
320,Apex London Wall Hotel,Comfort Double Room,"? 15,839",5,Wife's 30th birthday,04-12-2016,500
321,The Savoy,Junior Suite,"? 16,247",5,Afternoon tea,10/20/2012,240
322,Apex London Wall Hotel,Executive Double Room,"? 16,655",5,Sparkling Hotel and Impressive Service,7/19/2010,1232
323,A To Z Hotel,Double Room,"? 6,662",3,OK hotel i forhold til prisen,06-04-2013,694
324,Corinthia Hotel London,Twin Room with Private Bathroom,"? 8,613",5,Wonderful hotel,10-08-2012,1118
325,The Lanesborough,King Room with Balcony,"? 9,924",5,Afternoon tea,02-12-2016,107
326,The Savoy,Standard Double or Twin Room,"? 10,306",4,Enjoyable Industry Dinner,3/28/2014,507
327,Corinthia Hotel London,Junior Suite,"? 10,777",5,Bond...James Bond,8/19/2014,992
328,The Savoy,Suite,"? 12,655",5,<U+C544><U+B984><U+B2F5><U+ACE0> <U+C6B0><U+C544><U+D55C> <U+D638><U+D154>,5/15/2017,3272
329,Mondrian London at Sea Containers,Standard Double Room,"? 7,756",4,Serenity,2/22/2017,765
330,The Savoy,Comfort Twin Room,"? 7,756",5,My favourite hotel - in the world,1/14/2014,1088
331,"Hotel Xenia, Autograph Collection",Triple Room,"? 11,838",5,3 nights in London,08-03-2016,846
332,The Savoy,Comfort Double or Twin Room,"? 13,716",5,Outstanding stay for wedding,12/30/2014,500
333,The Savoy,Twin Room with Shower,"? 6,565",5,Birthday afternoon tea,12-08-2014,500
334,Mondrian London at Sea Containers,Standard Twin Room,"? 8,409",5,Wow the Mondrian !!!,02-02-2018,782
335,Ridgemount Hotel,Small Double Room,"? 8,491",4,Terrific value; try to get renovated room,02-10-2012,942
336,Corinthia Hotel London,Double Room with Private External Bathroom,"? 6,794",5,Outstanding Location and Service,12/26/2013,244
337,The Rembrandt,Small Basic Room,"? 8,862",4,A very pleasant discovery!,9/27/2011,167
338,"Hotel Xenia, Autograph Collection",Double Room with Mezzanine,"? 10,781",5,Lives up to it's name!,08-04-2015,500
339,The Rembrandt,Double Room with Balcony,"? 12,854",4,Perfect London location,10/14/2011,500
340,"Hotel Xenia, Autograph Collection",Comfort Quadruple Room,"? 15,186",5,Hotel fit for a King,11-10-2014,1635
341,Mondrian London at Sea Containers,Two-Bedroom House,"? 19,542",5,A very enjoyable stay!,4/20/2015,500
342,Ridgemount Hotel,Three-Bedroom House,"? 36,489",5,Per soggiornare a Londra senza svenarsi,03-10-2014,500
343,The Dorchester,Hub,"? 5,925",5,First class,07-12-2009,500
344,The Savoy,Standard Twin Room,"? 6,260",1,Horrible service at The Savoy,7/17/2015,184
345,Mondrian London at Sea Containers,Economy Double Room,"? 7,058",5,The most wonderful dining experience in London,01-04-2017,6631
346,The Savoy,Basic Room Double or Twin Room,"? 8,370",5,"Excellent location, superior service and old world class",8/16/2015,500
347,The Lanesborough,Double Room,"? 8,706",5,Service de haute voltige !,10/29/2016,500
348,"Hotel Xenia, Autograph Collection",Double Room with Courtyard View,"? 9,542",4,Good... but lacked that something special,10/18/2016,500
349,The Rembrandt,Standard Double Room,"? 9,675",5,"Great location, lovely service !",5/21/2018,1000
350,"Hotel Xenia, Autograph Collection",Standard Double Room,"? 10,532",4,Cute hotel in Kensington,5/20/2018,1723
351,Mondrian London at Sea Containers,Standard King Room,"? 11,034",5,One night stay to celebrate my 40th,07-06-2015,1036
352,The Dorchester,King Room,"? 11,348",5,Ottimo,1/17/2017,500
353,Mondrian London at Sea Containers,One-Bedroom Apartment,"? 11,597",5,Perfect in every way!,12/14/2015,500
354,The Rembrandt,Comfort Double or Twin Room,"? 11,757",2,Caution - Musty and shabby.,7/14/2003,500
355,The Dorchester,Family Room with Balcony and Shared Bathroom,"? 13,722",5,perfection!!,09-07-2011,1360
356,The Rembrandt,Apartment,"? 27,481",5,Excellent hotel in a fantastic location for the museums!,9/21/2017,22
357,Mondrian London at Sea Containers,Standard Double,"? 5,486",5,Morgan Hotels does it again!,12/14/2014,500
358,"Hotel Xenia, Autograph Collection",Standard Double Room,"? 5,573",5,Great little Hotel!,7/29/2013,500
359,The Savoy,Twin Standard,"? 6,539",4,Lunch by the River,02-05-2012,500
360,The Savoy,Twin Room with Private Bathroom and Shower,"? 7,558",5,A real treat!,6/20/2016,500
361,Rhodes Hotel,Comfort Twin Room with Shower,"? 12,042",4,Lovely but wish AC worked,08-05-2013,1586
362,Corinthia Hotel London,Standard Twin Room,"? 12,900",2,Disappointed in room,5/31/2015,500
363,Apex London Wall Hotel,Comfort Double Room,"? 13,063",2,Why add service charge?,11-04-2014,2458
364,45 Park Lane - Dorchester Collection,Budget Double Room,"? 10,614",5,<U+041C><U+043E><U+0434><U+043D><U+044B><U+0439> <U+043E><U+0442><U+0435><U+043B><U+044C>,09-01-2015,550
365,Apex London Wall Hotel,Double Room,"? 11,757",5,Nice surprise for a London hotel!,6/25/2012,937
366,"Hotel Xenia, Autograph Collection",Suite,"? 12,573",5,Excellent 4 day stay,08-01-2014,500
367,The Savoy,City Twin Room,"? 13,063",4,An English experience,6/25/2013,1801
368,Apex London Wall Hotel,Penthouse Room with Beach View,"? 16,084",4,Perfect business trip stay!,12/19/2012,1567
369,The Savoy,One-Bedroom Apartment,"? 21,962",5,Great for a late night drink!,5/21/2017,22
370,"Hotel Xenia, Autograph Collection",Standard Double Room,"? 8,491",5,Happy weekend,11/24/2015,3724
371,The Savoy,Standard Twin Room,"? 10,042",5,Special experience,08-05-2016,3750
372,The Savoy,Double Room with Balcony,"? 12,410",5,<U+6539><U+88C5><U+5F8C><U+521D><U+3081><U+3066><U+306E><U+5BBF><U+6CCA>,11-08-2013,500
373,Corinthia Hotel London,Studio with Sea View,"? 14,777",5,Breakfast at the Northall Resataurant - a real treat in every way!,2/14/2015,610
374,The Rembrandt,Deluxe Twin Room,"? 19,472",5,Super hotel in a perfect location,11/24/2013,324
375,The Savoy,Double Room,"? 9,405",5,Amazing wedding!,10/29/2017,4276
376,Ridgemount Hotel,Standard Room,"? 10,532",3,Suffisant pour un court séjour.,12/17/2007,1218
377,Rhodes Hotel,Comfort Double Room,"? 12,165",5,Freundliche Unterkunft,12-05-2009,500
378,The Rembrandt,Double Room,"? 13,961",4,Un buon hotel a Londra,08-02-2017,247
379,Mondrian London at Sea Containers,Superior Double Room,"? 15,680",5,High class,02-01-2016,7748
380,The Rembrandt,Double Room,"? 15,022",4,Perfect location!,05-01-2015,758
381,London Guest House,Standard Double Room,"? 9,797",3,Hotel in West London,02-05-2018,1149
382,The Rembrandt,Standard Double Room,"? 10,695",2,"Great location, not so great Hotel",6/23/2015,91
383,Apex London Wall Hotel,Deluxe Double Room,"? 12,246",5,Wonderful weekend base,7/22/2013,136
384,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Deluxe Double Room,"? 11,838",5,BEST HOTEL EVER,11/24/2013,425
385,Corinthia Hotel London,Apartment,"? 13,308",5,Fantastic,10/28/2017,500
386,Mondrian London at Sea Containers,Superior Double Room,"? 12,736",5,Birthday weekend,2/13/2015,362
387,Mondrian London at Sea Containers,Deluxe Double Room with Bath,"? 13,471",5,Great experience,06-02-2015,418
388,Ridgemount Hotel,Small Double Room,"? 13,471",5,Friendly budget hotel,11/30/2014,351
389,The Savoy,Standard Double Room,"? 14,696",5,Exceptional in almost every way,01-08-2012,724
390,The Savoy,Comfort Double with Private Bathroom and Shower,"? 9,307",5,Afternoon Tea,3/21/2015,500
391,The Dorchester,Small Double Room,"? 10,936",3,Amazing-not so!,11/28/2015,500
392,London Guest House,Comfort Double Room,"? 11,226",1,Bad experience,08-12-2015,500
393,Apex London Wall Hotel,City Double Room,"? 11,757",5,A great hotel in the heart of London's Financial District,7/14/2016,3803
394,The Savoy,Small Double Room,"? 11,906",5,The best service in the world,12-05-2015,903
395,Mondrian London at Sea Containers,Superior King Room,"? 13,167",5,"Excellent option, great hotel and superb staff",03-10-2015,508
396,Newham Hotel,Small Double Room,"? 13,798",1,daughters 18th Birthday,1/20/2016,500
397,Mondrian London at Sea Containers,Deluxe Suite,"? 13,226",3,Ok but not stunning,12/20/2014,787
398,The Savoy,Large Double Room,"? 14,461",5,Superb 60th Celebration,07-06-2014,241
399,Mondrian London at Sea Containers,Twin Room with City View,"? 14,614",4,Great hotel,8/28/2016,656
400,Mondrian London at Sea Containers,Standard Double or Twin Room,"? 15,597",5,A Gem in a great area of London,08-04-2015,500
401,Apex London Wall Hotel,Standard Twin Room with Shared Bathroom,"? 7,772",5,Best hotel stay yet,8/16/2016,555
402,"Bulgari Hotel, London",Standard Twin Room,"? 9,552",5,Giannone trip,5/17/2016,500
403,Ridgemount Hotel,Queen Room,"? 9,079",5,Perfect location and most affordable for London town,11/28/2015,895
404,Ridgemount Hotel,Bunk Room,"? 9,797",4,Hotel estupendo y bien ubicado,11-11-2015,3250
405,Mondrian London at Sea Containers,bunk,"? 10,205",5,great location,2/15/2017,265
406,Mondrian London at Sea Containers,Deluxe Double Room Ground Floor,"? 10,836",5,Excellent,10-08-2015,500
407,Rhodes Hotel,Queen Room,"? 11,430",4,Great Location Budget Hotel,6/29/2015,500
408,Corinthia Hotel London,Two-Bedroom Apartment,"? 10,369",5,Spectacular hotel in the heart of London,02-12-2015,500
409,"Bulgari Hotel, London",One-Bedroom Apartment,"? 11,348",5,Friendly and welcoming,02-09-2017,612
410,Apex London Wall Hotel,Deluxe King Room,"? 13,838",5,Super stay,1/29/2018,22
411,Corinthia Hotel London,Double Room with Private Bathroom,"? 8,899",5,Tea Time,08-12-2018,556
412,Mondrian London at Sea Containers,Small Double Room,"? 9,797",5,Amazing,12-12-2016,524
413,The Savoy,Economy Double Room,"? 13,838",5,Classic setting and service in a great central location,11-01-2016,1125
414,The Rembrandt,Comfort Double Room with Shower,"? 15,675",4,Good value,3/29/2013,346
415,"Mandarin Oriental Hyde Park, London",One-Bedroom Apartment,"? 25,228",5,Pure Class,07-06-2013,500
416,Apex London Wall Hotel,Double Room,"? 7,838",5,Perfekt,2/27/2016,500
417,The Dorchester,Comfort Double Room,"? 10,287",5,Dorchester Hotel Superb!,09-11-2013,2760
418,Apex London Wall Hotel,Standard Double Room with Rain Shower,"? 11,022",5,Amazing stay,04-06-2017,993
419,Mondrian London at Sea Containers,Double Room,"? 14,696",5,Excellent séjour,10/30/2016,753
420,"Mandarin Oriental Hyde Park, London",Standard Double Room with Shared Bathroom,"? 4,490",4,Good stay,1/19/2016,903
421,The Dorchester,Comfort Double Room,"? 7,348",5,Best,11-07-2016,988
422,The Savoy,Standard Queen Room,"? 8,083",4,My 70th birthday,4/21/2017,739
423,Mondrian London at Sea Containers,Quadruple Room with Bunk Beds and Shared Bathroom,"? 10,695",5,Great chic London hotel with South Bank location and 'no name',12-07-2014,611
424,The Lanesborough,Standard Double Room with Shared Bathroom,"? 10,777",5,Perfect experience from start to the finish,10/21/2017,542
425,Mondrian London at Sea Containers,Standard Double Room,"? 11,838",5,Urban Cocktail Hide Out,10-12-2015,38
426,The Rembrandt,Classic Double Room,"? 13,063",4,"Lovely spa experience, not such a lovely afternoon tea experience!",1/23/2018,2102
427,The Dorchester,Family Room,"? 14,892",5,First Class Luxury Hotel!,10/23/2008,827
428,Corinthia Hotel London,Standard Double Room,"? 16,818",5,"Incredible incredible hotel, spa & staff",3/18/2017,1355
429,The Savoy,Standard Double Room,"? 19,908",5,Worth Every Penny,04-12-2015,500
430,Mondrian London at Sea Containers,Twin Room with Shared Bathroom,"? 5,715",4,Better-than-basic business trip,12/15/2015,241
431,Ridgemount Hotel,Standard Double Room,"? 13,961",5,Great location and comfortable rooms,5/22/2012,500
432,Ridgemount Hotel,Budget Double Room with Shared Bathroom,"? 8,368",4,Camera quintupla,03-03-2017,386
433,The Rembrandt,Mobile Home,"? 17,635",4,"Great Location, good rooms, good breakfast",8/28/2018,5
434,"Bulgari Hotel, London",Deluxe Suite with Sea View,"? 33,624",2,Excellent,12/31/2016,172
435,London Guest House,Double Room with Balcony ,"? 8,151",5,Awesome stay great value,02-06-2017,500
436,The Savoy,Junior Suite,"? 12,619",5,Grand hotel,02-09-2017,43
437,The Rembrandt,Court Lodge,"? 13,052",5,Simply Excellent,1/28/2015,500
438,Corinthia Hotel London,Two-Bedroom Chalet,"? 14,813",5,Always the best,4/21/2017,500
439,Mondrian London at Sea Containers,Six-Bedroom House,"? 32,135",5,Theatre visit,1/20/2017,
440,"Mandarin Oriental Hyde Park, London",Double Room with Private Bathroom,"? 8,817",1,good,6/17/2012,13
441,The Rembrandt,Small Double Room,"? 11,348",4,soggiorno nelle aspettative,02-02-2010,431
442,"Bulgari Hotel, London",Double Room with City View,"? 11,561",5,A+,12-04-2014,500
443,"Hotel Xenia, Autograph Collection",One-Bedroom Apartment,"? 12,462",5,Can't fault the hotel at all!,10-08-2014,21
444,The Savoy,Deluxe Double Room,"? 17,063",5,London Gem,10-01-2015,2958
445,Mondrian London at Sea Containers,Apartment with Sea View,"? 25,081",3,"Great style, no substance",3/20/2016,
446,Mondrian London at Sea Containers,Double Room with Private External Bathroom,"? 8,935",5,spending a weekend at Mondrian London,12-08-2015,913
447,Ridgemount Hotel,Standard Double Room (Pets not Allowed),"? 10,424",4,Simple et central,03-10-2014,784
448,Mondrian London at Sea Containers,Standard Double Room,"? 10,654",4,All round great hotel in London,8/20/2017,345
449,"Bulgari Hotel, London",Deluxe Room,"? 12,889",5,Chic hotel!,10/13/2014,500
450,Rhodes Hotel,Twin Room with City View (Elevator access),"? 13,879",5,A little gem,04-10-2009,658
451,Corinthia Hotel London,Deluxe King Room,"? 8,112",5,Excellent yet again,07-03-2016,78
452,The Savoy,Comfort Quadruple Room,"? 12,697",4,Beautiful hotel but bedroom let it down,7/29/2015,573
453,Corinthia Hotel London,Comfort Twin Room,"? 14,108",5,Superb,3/30/2012,754
454,Corinthia Hotel London,Double Room with Shared Bathroom,"? 5,142",5,Perfect rooms,04-12-2014,1167
455,"Hotel Xenia, Autograph Collection",Caravan,"? 9,876",5,Marg Davies & Co,7/29/2015,15
456,Mondrian London at Sea Containers,Twin Room with City View,"? 11,757",5,Mondrian hotel - great location,12-03-2016,715
457,The Savoy,Mobile Home,"? 9,797",3,"High prices, mediocre stay",8/29/2014,6
458,Apex London Wall Hotel,One-Bedroom Apartment,"? 10,614",4,A good business hotel for one or two nights,4/18/2013,3
459,The Savoy,Two-Bedroom House,"? 17,635",5,Exceptional hotel,03-10-2013,27
460,Rhodes Hotel,Five-Bedroom Apartment,"? 24,411",3,Good for short stay.,3/22/2013,18
461,Corinthia Hotel London,Eight-Bedroom Apartment,"? 44,087",4,"<U+0434><U+043E><U+0440><U+043E><U+0433><U+043E>, <U+043D><U+043E> <U+0441><U+043E> <U+0432><U+043A><U+0443><U+0441><U+043E><U+043C>",7/15/2016,2
462,The Rembrandt,Twin Room with Private Bathroom,"? 8,501",4,warm friendly and relaxing,12/13/2017,567
463,Apex London Wall Hotel,Studio,"? 7,593",5,Squeaky clean establishment,07-01-2011,3
464,Corinthia Hotel London,Studio,"? 7,593",5,Afternoon tea in Lobby Lounge and a tour of hotel.,05-06-2011,8
465,Mondrian London at Sea Containers,Studio,"? 7,593",5,One of the best hotel in London,7/26/2016,1
466,The Dorchester,Two-Bedroom Chalet,"? 7,446",5,High tea cannot be better,05-06-2017,1
467,The Dorchester,Two-Bedroom Apartment,"? 12,736",5,Wedding Day - Magical,4/24/2017,1
468,The Savoy,Double Room,"? 15,024",5,Flawless,9/18/2011,500
469,45 Park Lane - Dorchester Collection,Two-Bedroom Apartment,"? 18,288",5,THE VERY BEST!,01-08-2017,1
470,The Savoy,Studio,"? 7,593",5,<U+0418><U+0434><U+0435><U+0430><U+043B><U+044C><U+043D><U+043E><U+0435> <U+043C><U+0435><U+0441><U+0442><U+043E> <U+0434><U+043B><U+044F> <U+043E><U+0442><U+0434><U+044B><U+0445><U+0430> <U+0432> <U+0446><U+0435><U+043D><U+0442><U+0440><U+0435> <U+041B><U+043E><U+043D><U+0434><U+043E><U+043D><U+0430>!!!!!,06-06-2016,3
471,Mondrian London at Sea Containers,Three-Bedroom Villa,"? 12,900",5,Wonderful hotel but not for Christmas,12/19/2015,4
472,Corinthia Hotel London,One-Bedroom House,"? 31,083",5,Outstanding Hotel,10/17/2016,500
473,The Savoy,Two-Bedroom Chalet,"? 18,960",5,Could this be the best hotel in the world?,1/17/2016,24
474,Ridgemount Hotel,Studio,"? 7,593",2,di buono ha solo la posizione,1/20/2014,
475,Mondrian London at Sea Containers,Two-Bedroom Apartment,"? 10,940",5,Fabulous Hot Spot Hotel,5/23/2018,
476,Mondrian London at Sea Containers,Two-Bedroom Apartment,"? 11,348",4,Fancy hotel with great location!,6/24/2016,
477,The Savoy,Two-Bedroom Apartment,"? 11,430",5,The Savoy,05-12-2014,
478,Mondrian London at Sea Containers,Three-Bedroom Apartment,"? 11,512",5,Loved every minute of my stay,07-04-2015,
479,Ridgemount Hotel,Three-Bedroom House,"? 11,838",4,Virkelig rart sted at bo,12-08-2012,
480,Mondrian London at Sea Containers,Three-Bedroom Apartment,"? 13,716",4,"Ottimo in tutto, o quasi",3/29/2016,
481,The Dorchester,Three-Bedroom Apartment,"? 13,961",5,Fantastic Experience,3/21/2012,
482,Ridgemount Hotel,Three-Bedroom House,"? 15,104",4,Hotel familiar,4/14/2015,
483,Ridgemount Hotel,Deluxe Studio,"? 8,588",5,A happy stay in London,8/28/2013,262
484,Apex London Wall Hotel,One-Bedroom Apartment,"? 10,478",5,Brilliant!,06-03-2010,41
485,The Rembrandt,Studio Apartment,"? 14,037",3,Didnt meet expectations...,11/25/2011,49
486,Corinthia Hotel London,One-Bedroom Apartment,"? 16,288",5,Great rooms,6/24/2017,500
487,The Rembrandt,Deluxe King Studio,"? 17,276",5,"Linda Campbell, Alabama USA",4/24/2008,15
488,Ridgemount Hotel,One-Bedroom Chalet,"? 27,470",5,Excelente,2/18/2018,500
489,"Bulgari Hotel, London",One-Bedroom Apartment,"? 9,802",5,Perfect Hotel in London,10/16/2013,74
490,Rhodes Hotel,Twin Room with Private Bathroom,"? 10,140",5,We Felt Like Family!,05-07-2008,122
491,The Savoy,Double Room with Terrace,"? 13,896",5,Great stay ...BUT!,9/15/2014,500
492,Ridgemount Hotel,Superior Family Room with Sea View,"? 18,778",4,"Ottima posizione, grande cortesia",6/27/2012,625
493,Mondrian London at Sea Containers,Superior Suite,"? 18,928",5,Amazing hotel,4/26/2015,500
494,The Dorchester,Double Room,"? 13,295",5,A five star hotel delivering 5 star service,10-04-2014,1415
495,Marble Arch Hotel,Standard Double or Twin Room with Balcony,"? 14,955",5,Gorgeous Tea Afternoon,12-05-2017,500
496,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Small Double Room,"? 9,065",5,Wonderful!,4/21/2015,208
497,Mondrian London at Sea Containers,Queen Studio,"? 10,464",4,Nice upscale hotel,5/19/2018,85
498,Corinthia Hotel London,2-person Premium Hotelroom,"? 12,165",5,Birthday weekend made special,11/22/2013,4375
499,The Savoy,Double Room,"? 9,797",4,"Lovely building, great restaurant, rude management",4/24/2011,2019
500,Mondrian London at Sea Containers,Twin room-Landside,"? 15,989",4,Theatre Visit,7/25/2016,660
501,The Dorchester,Junior Suite with Balcony,"? 17,488",5,The Dorchester,3/16/2016,605
502,"Mandarin Oriental Hyde Park, London",Budget Twin Room,"? 10,762",5,Unbelievable,02-01-2014,220
503,Apex London Wall Hotel,Double Room with Shared Bathroom,"? 8,230",5,El hotel perfecto en Londres,3/23/2015,182
504,Corinthia Hotel London,Double Room with Private Bathroom,"? 8,164",5,Uovertruffen service,3/26/2016,229
505,The Rembrandt,Suite,"? 9,797",5,Honeymoon at The Rembrandt,9/24/2014,712
506,The Dorchester,Deluxe Room,"? 14,288",4,a little on the old side,9/17/2014,916
507,The Savoy,Junior Suite,"? 26,126",5,The best customer service in the world,7/29/2013,71
508,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Superior Twin Room with City View,"? 8,981",5,Another highlight on Park Lane,11/29/2014,236
509,Ridgemount Hotel,Double or Twin Room,"? 9,307",5,Great deal & good location,7/18/2011,349
510,Ridgemount Hotel,Comfort Double or Twin Room,"? 9,797",5,"A nice, cozy and friendly hotel with good value",10/19/2012,2931
511,45 Park Lane - Dorchester Collection,Classic Double Room,"? 10,614",5,Worth a visit,08-10-2016,500
512,Mondrian London at Sea Containers,Deluxe Double Room,"? 11,348",5,Perfect City Hotel with Fab Design,12/29/2015,532
513,The Savoy,Comfort Twin Room,"? 11,430",2,better,12/18/2014,787
514,The Dorchester,Double Room with Shared Bathroom,"? 6,123",5,High Tea im Dorchester ,11/18/2014,43
515,Mondrian London at Sea Containers,Double Room with Shared Shower and Toilet,"? 6,531",5,Stunning London Hotel Mondrian with the personal touch,07-12-2016,142
516,A To Z Hotel,Comfort Double Room,"? 7,266",2,"Filthy, Unhygienic",2/16/2016,151
517,"Mandarin Oriental Hyde Park, London",Standard Double Room with External Toilet,"? 7,348",5,Love this place,12/14/2004,422
518,The Savoy,Twin Room,"? 7,838",5,American Bar review,09-12-2014,1537
519,The Savoy,Deluxe Twin Room,"? 8,532",5,Beautiful,10-09-2014,316
520,The Rembrandt,Superior Apartment,"? 8,899",3,Great location,08-08-2011,232
521,The Savoy,Standard Double Room,"? 10,205",5,good,07-01-2018,1402
522,Apex London Wall Hotel,Double Room with Private Bathroom,"? 6,123",4,Excellent,1/30/2012,149
523,Apex London Wall Hotel,Standard Twin Room,"? 7,789",5,Beautiful hotel and excellent service,02-01-2012,1095
524,The Rembrandt,Double Room,"? 6,870",4,Carino,01-01-2016,2071
